,ci_name,location_full
408,M235L09B-HS20,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09B
409,M235P13A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13
410,M235P13B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13
411,NAC103A,EUROPE/FRANCE/VECQUEMONT
412,NAC109A,EUROPE/FRANCE/BEINHEIM
413,NAC118A,EUROPE/FRANCE/VIC SUR AISNE/ADMINISTRATIF/N 0/SALLE INFORMATIQUE 2
414,NAC130A,EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+4
415,NAC200A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/L6
416,NAC201A,EUROPE/ITALY/CASSANO SPINOLA
417,NAC202A,EUROPE/SPAIN/BENIFAYO ESPANA
418,NAC208A,AMERICA/USA/GURNEE/GURNEE IL 60031/OFFICE/[I.T. Room 855]
419,NAC210A,AMERICA/USA/KEOKUK
420,NAC210B,AMERICA/USA/KEOKUK
421,NAC221A,AMERICA/MEXICO
422,NAC224A,AMERICA/USA/GENEVA
